Podcast Name,Description,Total Episodes,Explicit,URL,Image
The Rewatcher: Buffy the Vampire Slayer,"Welcome to the Hellmouth Weirdos! Your favorite Morbid hosts Ash and Alaina are branching out from true crime and heading to Sunnydale for the ultimate Buffy the Vampire Slayer Rewatch podcast! Alaina is a Buffy superfan and Ash has never watched a single episode, so whether you’re Team Angel, Team Spike, or have no clue who those people are…they’ve got you covered! Join them each week as they slay their way through the series, episode by episode, re-watching, and watching for the very first time. They’ll break down Buffy and her friends adventures through weekly recaps, categories, and awards while Ash takes some (wooden stake) stabs at predicting what she thinks will happen next. They'll also welcome the occasional Buffy cast member, guest star, or celebrity superfan to join in the slaying.New episodes come out every Monday or you can listen early on Amazon Music or early and ad-free by subscribing to Wondery+ on Apple Podcasts or in the Wondery app.",39,Yes,https://open.spotify.com/show/4jLKhdBDjkcUt7w84a6jKR,https://i.scdn.co/image/ab6765630000ba8a6874f79ca9ad5e7ddab78463
Myth Taken: A Buffy the Vampire Slayer Podcat,"Hosts Laine and Cory discuss episodes, seasons, mythology, and folklore related to one of the best shows ever: Buffy the Vampire Slayer!",50,Yes,https://open.spotify.com/show/1L3UBsBXxiw7Oiu6T7pMwX,https://i.scdn.co/image/ab6765630000ba8a3529e6cc38f7abc4c81da513
Slayerfest98 (A Buffy the Vampire Slayer Podcast),A Queer Latinx Buffy the Vampire Slayer Podcast that occasionally covers Marvel stuff.,311,Yes,https://open.spotify.com/show/0wheD3U5P0DszKcR1BxEHW,https://i.scdn.co/image/ab6765630000ba8a9577955a4f77b0d25f0172e2
Buffy the Gilmore Slayer: A Buffy and Gilmore Girls Podcast,"The one and only Gilmore Girls AND Buffy the Vampire Slayer podcast brought to you by comedians/real life couple Bryan Morris & Stacey Kulow. Bryan grew up obsessed with Buffy the Vampire Slayer, and Stacey is a huge Gilmore Girls fan, but neither of them have ever seen the other's favorite show. Together they watch their way through both excellent 7-season series, discussing an episode from each show every week, in an attempt to figure out which show is better. Bryan & Stacey are New York-based writer/performers, both born and raised in the Midwest. They met doing improv in Madison, Wisconsin and have been together for over a decade.",150,Yes,https://open.spotify.com/show/2KTUWqWedgGnw1ZJk589M7,https://i.scdn.co/image/ab6765630000ba8abdd17f73b3c5d20ce6cba7a7
Boys Watching Buffy,Joe Welkie and Vance Tucker watch Buffy the Vampire Slayer for the first time ever and share their thoughts on every episode.,95,Yes,https://open.spotify.com/show/73hjIggIaddQCcT1Vc5K36,https://i.scdn.co/image/ab6765630000ba8a0ea23d87904b0f805af19b1c
Poorly Read Podcast - Season 3: Buffy the Vampire Slayer,"The Fiendish Comedy Podcast!  Season 3: Buffy the Vampire Slayer - The Poorly Read boys get knees deep in your favourite 90's heroine.  Season 2: The Lion, the Witch and the Wardrobe/Twilight - The first two books of these best-selling series are given the brutal Poorly Read treatment. With ice cream on top.  Season 1: Harry Potter - The magical journey through Hogwarts revisited through jaded, adult eyes…",108,Yes,https://open.spotify.com/show/2TG7MqVzDIkw7gSX39ASJf,https://i.scdn.co/image/ab6765630000ba8abc658f609cb53e17688b270f
Another Buffy Podcast,"Join us as we geek out about our love for all things Buffy, episode by episode.",85,Yes,https://open.spotify.com/show/7gCwXozAy8altvw4tedhiH,https://i.scdn.co/image/ab6765630000ba8a76830bb20b4a789751662912
Becoming Buffy,"A podcast discussing the themes, metaphors, and symbolism in the hit TV show, ""Buffy the Vampire Slayer."" Join sisters Sarah, Tabby, and Leah as they dissect the show with a spoiler-free analysis for new watchers, and also a spoiler-filled analysis for long time fans.",114,Yes,https://open.spotify.com/show/4cxIKWTxPKjeK9ygdQRTd4,https://i.scdn.co/image/ab6765630000ba8a7b3f86461e5cce05c4a84a12
"Still Pretty, a Buffy the Vampire Slayer podcast","In Still Pretty, story expert Lani Diane Rich and film scholar Noelle LaCroix dive deep into the symbolism and narrative in Buffy the Vampire Slayer.",172,Yes,https://open.spotify.com/show/13qyIoVKl6uxf4WznUFbpy,https://i.scdn.co/image/ab6765630000ba8ae702a9a8dffbc42d8bfeddf5
Prophecy Girls: A Buffy Rewatch Podcast,A Buffy the Vampire Slayer rewatch podcast. Join Steph and Kara as they recap and review every episode from the beginning. This podcast is spoiler-free and friendly to first-time watchers.,128,Yes,https://open.spotify.com/show/40746K8FP2xIuO94XXUnlk,https://i.scdn.co/image/ab6765630000ba8a8a4ca236b3947da740c6ef88
